('Moran', 7, 0.33900000000000025)
('Funnel', 7, 0.36700000000000027)
('Superfan', 7, 0.3880000000000003)
('Star', 7, 0.4290000000000003)
('Moran', 13, 0.32300000000000023)
('Funnel', 13, 0.44000000000000034)
('Superfan', 13, 0.4110000000000003)
('Star', 13, 0.4840000000000004)
('Moran', 21, 0.33400000000000024)
('Funnel', 21, 0.4890000000000004)
('Superfan', 21, 0.47700000000000037)
('Star', 21, 0.4840000000000004)
('Moran', 31, 0.34500000000000025)
('Funnel', 31, 0.5020000000000003)
('Superfan', 31, 0.5150000000000003)
('Star', 31, 0.5320000000000004)
